brand,id,title,description,link,image_link,price,availability,condition,google_product_category
Amii Illustrates,yolk/pri,'Yolk' Print,"<p class="""">Size - 140mm x 140mm</p><p class="""">Printed on white card stock - 300gsm</p><p class="""">Hand signed by me!</p><p class="""">UK - Sent via Royal Mail First Class</p><p class="""">Worldwide - Sent via Royal Mail International Standard</p><p class="""">Dispatched within 3 - 5 working days</p>",https://www.amiiillustrates.com/shop/p/yolk-print,"https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605734089016-BBVNKNWPVUBWSNPZ5MJC/IMG_3443.JPG?format=750w,https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605734071809-GAXBTCEN8RVQM7E7EE5G/IMG_3473.JPG?format=750w",GBP6.00,In Stock,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork"
Amii Illustrates,lemon/pri,'Lemons' Print,"<p class="""">Size - 140mm x 140mm</p><p class="""">Printed on white card stock - 300gsm</p><p class="""">Hand signed by me!</p><p class="""">UK - Sent via Royal Mail First Class</p><p class="""">Worldwide - Sent via Royal Mail International Standard</p><p class="""">Dispatched within 3 - 5 working days</p>",https://www.amiiillustrates.com/shop/p/lemons-print,"https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605734001473-7LWFE61RZZEA9XGKPL49/IMG_3442.JPG?format=750w,https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605734021182-NGLFVDJWI224OCSBP23M/IMG_3472.JPG?format=750w",GBP6.00,In Stock,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork"
Amii Illustrates,worm/pri,'Worm' Print,"<p class="""">Size - 140mm x 140mm</p><p class="""">Printed on white card stock - 300gsm</p><p class="""">Hand signed by me!</p><p class="""">UK - Sent via Royal Mail First Class</p><p class="""">Worldwide - Sent via Royal Mail International Standard</p><p class="""">Dispatched within 3 - 5 working days</p>",https://www.amiiillustrates.com/shop/p/worm-print-1,"https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605732268294-BV2UPEPKFFTGCM34QLA3/IMG_3409.JPG?format=750w,https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605732276789-3JO8WOD6RGTP4N5T2K2W/IMG_3456.JPG?format=750w",GBP6.00,In Stock,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork"
Amii Illustrates,honey/pri,'Honey' Print,"<p class="""">Size - 140mm x 140mm</p><p class="""">Printed on white card stock - 300gsm</p><p class="""">Hand signed by me!</p><p class="""">UK - Sent via Royal Mail First Class</p><p class="""">Worldwide - Sent via Royal Mail International Standard</p><p class="""">Dispatched within 3 - 5 working days</p>",https://www.amiiillustrates.com/shop/p/honey-print,"https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605732967201-I01USIWP96IB4YQMHYZW/IMG_3420.JPG?format=750w,https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605732959482-L7XUN1FE6PB3QQG6UK2Y/IMG_3463.JPG?format=750w",GBP6.00,In Stock,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork"
Amii Illustrates,releaseme/pri,'Release Me' Print,"<p class="""">Size - 140mm x 140mm</p><p class="""">Printed on white card stock - 300gsm</p><p class="""">Hand signed by me!</p><p class="""">UK - Sent via Royal Mail First Class</p><p class="""">Worldwide - Sent via Royal Mail International Standard</p><p class="""">Dispatched within 3 - 5 working days</p>",https://www.amiiillustrates.com/shop/p/release-me-print,"https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605734529480-9BJF3HD034V2N43T5YPQ/IMG_3448.JPG?format=750w,https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605734538324-MDQSOIGM071966WJLOE0/IMG_3477.JPG?format=750w",GBP6.00,In Stock,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork"
Amii Illustrates,fababy/print,'Fat Baby' Print,"<p class="""">Size - 140mm x 140mm</p><p class="""">Printed on white card stock - 300gsm</p><p class="""">Hand signed by me!</p><p class="""">UK - Sent via Royal Mail First Class</p><p class="""">Worldwide - Sent via Royal Mail International Standard</p><p class="""">Dispatched within 3 - 5 working days</p>",https://www.amiiillustrates.com/shop/p/fat-baby-print,"https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605733285215-TDLZSP8004BNACGLZF7C/IMG_3429.PNG?format=750w,https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605733317623-3Z9W7JRDLF20SAM9CH2W/IMG_3467.JPG?format=750w",GBP6.00,In Stock,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork"
Amii Illustrates,karen/pri,'Karen' Print,"<p class="""">Size - 140mm x 140mm</p><p class="""">Printed on white card stock - 300gsm</p><p class="""">Hand signed by me!</p><p class="""">UK - Sent via Royal Mail First Class</p><p class="""">Worldwide - Sent via Royal Mail International Standard</p><p class="""">Dispatched within 3 - 5 working days</p>",https://www.amiiillustrates.com/shop/p/karen-print-1,"https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605733566404-YQOFDILW0UEMUKYCRYUH/IMG_3430.JPG?format=750w,https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605733552134-QLENLYUBD6H954SDL07O/IMG_3468.JPG?format=750w",GBP6.00,In Stock,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork"
Amii Illustrates,goodboy/pri,'Good Boy' Print,"<p class="""">Size - 140mm x 140mm</p><p class="""">Printed on white card stock - 300gsm</p><p class="""">Hand signed by me!</p><p class="""">UK - Sent via Royal Mail First Class</p><p class="""">Worldwide - Sent via Royal Mail International Standard</p><p class="""">Dispatched within 3 - 5 working days</p>",https://www.amiiillustrates.com/shop/p/good-boy-print,"https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605734273959-YOU3ERCWMNVXPV05VX9O/IMG_3445.JPG?format=750w,https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1605734315113-XWZ2P4YZ191MWIHQJ8N1/IMG_3475.JPG?format=750w",GBP6.00,In Stock,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork"
Amii Illustrates,earwor/pri,'Early Worm' Print,"<p class="""">Size - 140mm x 180mm</p><p class="""">Printed on white card stock - 300gsm</p><p class="""">Hand signed by me!</p><p class="""">UK - Sent via Royal Mail First Class</p><p class="""">Worldwide - Sent via Royal Mail International Standard</p><p class="""">Dispatched within 3 - 5 working days</p>",https://www.amiiillustrates.com/shop/p/early-worm-print,"https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1610379899393-PG6ZOAPBLOK2LMJV6QW3/IMG_3606.JPG?format=750w,https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1610379831412-3ESX4BBQKDC15R9RGBNN/IMG_3599.JPG?format=750w",GBP6.00,In Stock,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork"
Amii Illustrates,better/pri,'Better' Print,"<p class="""">Size - 140mm x 180mm</p><p class="""">Printed on white card stock - 300gsm</p><p class="""">Hand signed by me!</p><p class="""">UK - Sent via Royal Mail First Class</p><p class="""">Worldwide - Sent via Royal Mail International Standard</p><p class="""">Dispatched within 3 - 5 working days</p>",https://www.amiiillustrates.com/shop/p/better-print,"https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1610976139674-616FOV4OHJILF9Q8IUMG/Untitled_Artwork+23.JPG?format=750w,https://images.squarespace-cdn.com/content/v1/5ee10c5720924f51c3ef9d61/1610976142107-A2ZG36S3D3SRELRO12IM/Untitled_Artwork+24.JPG?format=750w",GBP6.00,In Stock,new,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork"
